CO2,datetime,temp_air,f_start,f_fluxid,f_end,atm_press
375.74103,2026-01-26T08:37:00Z,27.15,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
377.22495,2026-01-26T08:37:01Z,27.13,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
378.97665,2026-01-26T08:37:02Z,27.12,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
382.1123,2026-01-26T08:37:03Z,27.11,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
384.19495,2026-01-26T08:37:04Z,27.1,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
385.81946,2026-01-26T08:37:05Z,27.09,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
385.87851,2026-01-26T08:37:06Z,27.07,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
388.18195,2026-01-26T08:37:07Z,27.06,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
387.12915,2026-01-26T08:37:08Z,27.05,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
385.44275,2026-01-26T08:37:09Z,27.04,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
386.62399,2026-01-26T08:37:10Z,27.04,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
389.09091,2026-01-26T08:37:11Z,27.03,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
393.62531,2026-01-26T08:37:12Z,27.02,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
393.58932,2026-01-26T08:37:13Z,27.01,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
393.60703,2026-01-26T08:37:14Z,27.01,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
394.55765,2026-01-26T08:37:15Z,27.01,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
396.49289,2026-01-26T08:37:16Z,27,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
399.62369,2026-01-26T08:37:17Z,27,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
398.28534,2026-01-26T08:37:18Z,26.99,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
400.33783,2026-01-26T08:37:19Z,27,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
401.9783,2026-01-26T08:37:20Z,27,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
401.84277,2026-01-26T08:37:21Z,27,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
403.21057,2026-01-26T08:37:22Z,27,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
404.2421,2026-01-26T08:37:23Z,26.99,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
402.96594,2026-01-26T08:37:24Z,27,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
402.6265,2026-01-26T08:37:25Z,27.01,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
402.70975,2026-01-26T08:37:26Z,27.01,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
401.07022,2026-01-26T08:37:27Z,27.01,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
400.65939,2026-01-26T08:37:28Z,27.02,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
400.75589,2026-01-26T08:37:29Z,27.03,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
399.86224,2026-01-26T08:37:30Z,27.03,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
398.332,2026-01-26T08:37:31Z,27.04,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
398.22809,2026-01-26T08:37:32Z,27.05,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
401.04086,2026-01-26T08:37:33Z,27.05,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
400.62668,2026-01-26T08:37:34Z,27.06,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
401.93039,2026-01-26T08:37:35Z,27.07,2026-01-26T08:37:00Z,270,2026-01-26T08:40:00Z,0.99094
